"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"ZFAND3",1.08623735577581e-143,0.267519402441869,0.56,0.082,2.37386311731246e-139,"10","ZFAND3"
"TNFRSF1A",1.56642533820944e-143,0.439372240823287,0.525,0.074,3.4232659341229e-139,"10","TNFRSF1A"
"RBM3",1.62743859554661e-143,0.361226888147842,0.471,0.06,3.55660430670756e-139,"10","RBM3"
"SLC25A29",2.27479253160106e-143,0.341969745889903,0.259,0.019,4.97133159856097e-139,"10","SLC25A29"
"IGSF8",2.65846047036177e-143,0.254426467097985,0.309,0.027,5.80979951192861e-139,"10","IGSF8"
"RNF114",3.71634924439446e-143,0.321940685678853,0.405,0.045,8.12170963869965e-139,"10","RNF114"
"IRF2BP21",3.85017020072768e-143,0.366795386519847,0.571,0.085,8.41416195667027e-139,"10","IRF2BP2"
"HMG20B1",4.76172784223593e-143,0.513159798279367,0.359,0.036,1.04062800264224e-138,"10","HMG20B"
"SELENOS",4.80662275382542e-143,0.457208690751222,0.347,0.034,1.05043933662101e-138,"10","SELENOS"
"SYNCRIP",5.30385708316197e-143,0.372915652246403,0.463,0.059,1.15910492695422e-138,"10","SYNCRIP"
"HEXB2",5.52314047964148e-143,0.711821459372611,0.463,0.06,1.20702712042085e-138,"10","HEXB"
